index,symbol
0,300743.SZ
1,300076.SZ
2,002376.SZ
3,300367.SZ
4,300368.SZ
5,002955.SZ
6,603019.SH
7,300202.SZ
8,300802.SZ
9,300793.SZ
10,603106.SH
11,300449.SZ
12,002577.SZ
13,603025.SH
14,002351.SZ
15,300956.SZ
16,600601.SH
17,688086.SH
18,002308.SZ
19,000066.SZ
20,300771.SZ
21,002866.SZ
22,002177.SZ
23,002180.SZ
24,002528.SZ
25,300551.SZ
26,300130.SZ
27,300857.SZ
28,002635.SZ
29,600734.SH
30,000977.SZ
31,300045.SZ
32,600271.SH
33,300042.SZ
34,000021.SZ
35,600100.SH
36,603496.SH
37,300656.SZ
38,002152.SZ
39,688696.SH
40,002757.SZ
41,002630.SZ
42,002613.SZ
43,688028.SH
44,002639.SZ
45,688022.SH
46,002645.SZ
47,002690.SZ
48,002686.SZ
49,002651.SZ
50,002691.SZ
51,688090.SH
52,300707.SZ
53,688097.SH
54,688312.SH
55,688301.SH
56,300029.SZ
57,000584.SZ
58,300024.SZ
59,300023.SZ
60,688218.SH
61,688215.SH
62,688200.SH
63,003043.SZ
64,002979.SZ
65,002975.SZ
66,688165.SH
67,002960.SZ
68,600435.SH
69,002957.SZ
70,688155.SH
71,600444.SH
72,600499.SH
73,002884.SZ
74,688128.SH
75,002837.SZ
76,002833.SZ
77,688113.SH
78,002786.SZ
79,688092.SH
80,688012.SH
81,605186.SH
82,600855.SH
83,603956.SH
84,603311.SH
85,603318.SH
86,002204.SZ
87,603331.SH
88,603338.SH
89,603339.SH
90,603912.SH
91,603396.SH
92,000925.SZ
93,603901.SH
94,603895.SH
95,603617.SH
96,603626.SH
97,603638.SH
98,603656.SH
99,603666.SH
100,603855.SH
101,603690.SH
102,603698.SH
103,603699.SH
104,002006.SZ
105,603757.SH
106,603308.SH
107,603300.SH
108,603298.SH
109,603960.SH
110,600860.SH
111,688003.SH
112,688001.SH
113,002534.SZ
114,002529.SZ
115,605305.SH
116,601226.SH
117,601606.SH
118,601608.SH
119,603012.SH
120,002366.SZ
121,002595.SZ
122,603036.SH
123,603081.SH
124,603088.SH
125,603090.SH
126,603131.SH
127,603159.SH
128,603169.SH
129,603203.SH
130,002255.SZ
131,603277.SH
132,603283.SH
133,603289.SH
134,603076.SH
135,000551.SZ
136,002816.SZ
137,603800.SH
138,300823.SZ
139,300833.SZ
140,688559.SH
141,300836.SZ
142,300837.SZ
143,300549.SZ
144,688557.SH
145,688556.SH
146,688551.SH
147,300092.SZ
148,300619.SZ
149,000404.SZ
150,300607.SZ
151,300818.SZ
152,300526.SZ
153,300875.SZ
154,300316.SZ
155,300604.SZ
156,300902.SZ
157,300293.SZ
158,688518.SH
159,688516.SH
160,300906.SZ
161,300281.SZ
162,300278.SZ
163,300276.SZ
164,300569.SZ
165,300263.SZ
166,300865.SZ
167,300950.SZ
168,300812.SZ
169,300545.SZ
170,300521.SZ
171,300512.SZ
172,300509.SZ
173,300499.SZ
174,300486.SZ
175,300480.SZ
176,300475.SZ
177,300472.SZ
178,300471.SZ
179,300462.SZ
180,300461.SZ
181,300457.SZ
182,300722.SZ
183,300382.SZ
184,300724.SZ
185,688633.SH
186,688630.SH
187,300443.SZ
188,300751.SZ
189,300756.SZ
190,300540.SZ
191,300757.SZ
192,300415.SZ
193,300411.SZ
194,300776.SZ
195,688596.SH
196,300402.SZ
197,300400.SZ
198,300450.SZ
199,300990.SZ
200,300334.SZ
201,300527.SZ
202,300193.SZ
203,688329.SH
204,300210.SZ
205,688383.SH
206,688377.SH
207,300201.SZ
208,600184.SH
209,688378.SH
210,300145.SZ
211,002433.SZ
212,002412.SZ
213,600285.SH
214,002349.SZ
215,002424.SZ
216,002390.SZ
217,605199.SH
218,000790.SZ
219,600332.SH
220,000590.SZ
221,000989.SZ
222,600993.SH
223,600351.SH
224,600976.SH
225,600080.SH
226,002566.SZ
227,600422.SH
228,002603.SZ
229,600781.SH
230,600329.SH
231,300016.SZ
232,002317.SZ
233,300878.SZ
234,002082.SZ
235,603567.SH
236,002107.SZ
237,002118.SZ
238,603896.SH
239,300519.SZ
240,600211.SH
241,603439.SH
242,600222.SH
243,300534.SZ
244,002166.SZ
245,300147.SZ
246,002198.SZ
247,600252.SH
248,300108.SZ
249,300039.SZ
250,603858.SH
251,000538.SZ
252,002275.SZ
253,300026.SZ
254,002287.SZ
255,603139.SH
256,600129.SH
257,603998.SH
258,002219.SZ
259,600771.SH
260,600085.SH
261,002750.SZ
262,002864.SZ
263,000650.SZ
264,600566.SH
265,600572.SH
266,002728.SZ
267,600594.SH
268,002873.SZ
269,600750.SH
270,600671.SH
271,002737.SZ
272,600436.SH
273,600557.SH
274,600479.SH
275,002826.SZ
276,600613.SH
277,600535.SH
278,000999.SZ
279,002644.SZ
280,000423.SZ
281,600518.SH
282,300181.SZ
283,002329.SZ
284,605337.SH
285,605179.SH
286,002732.SZ
287,600597.SH
288,002946.SZ
289,002770.SZ
290,300898.SZ
291,002719.SZ
292,600419.SH
293,300892.SZ
294,600887.SH
295,600429.SH
296,600882.SH
297,002910.SZ
298,002570.SZ
299,300113.SZ
300,300038.SZ
301,603258.SH
302,300031.SZ
303,002261.SZ
304,603533.SH
305,002113.SZ
306,603444.SH
307,002115.SZ
308,000676.SZ
309,300418.SZ
310,603613.SH
311,300766.SZ
312,002803.SZ
313,688228.SH
314,600633.SH
315,002315.SZ
316,002095.SZ
317,002235.SZ
318,300987.SZ
319,300051.SZ
320,300494.SZ
321,002131.SZ
322,300226.SZ
323,002127.SZ
324,002168.SZ
325,002174.SZ
326,600634.SH
327,600226.SH
328,300242.SZ
329,600556.SH
330,300467.SZ
331,300063.SZ
332,002123.SZ
333,300061.SZ
334,300459.SZ
335,300052.SZ
336,603888.SH
337,002148.SZ
338,600228.SH
339,002640.SZ
340,000681.SZ
341,002995.SZ
342,002605.SZ
343,002602.SZ
344,600070.SH
345,003010.SZ
346,603000.SH
347,300295.SZ
348,600652.SH
349,688158.SH
350,002425.SZ
351,603825.SH
352,002447.SZ
353,300571.SZ
354,300343.SZ
355,002558.SZ
356,002555.SZ
357,002464.SZ
358,600293.SH
359,300609.SZ
360,300921.SZ
361,000606.SZ
362,300299.SZ
363,300148.SZ
364,688500.SH
365,300315.SZ
366,300399.SZ
367,600986.SH
368,002654.SZ
369,000971.SZ
370,002517.SZ
371,300392.SZ
372,002354.SZ
373,300792.SZ
374,605168.SH
375,002619.SZ
376,300785.SZ
377,601360.SH
378,000927.SZ
379,300350.SZ
380,600179.SH
381,600180.SH
382,002930.SZ
383,300873.SZ
384,603535.SH
385,603565.SH
386,600794.SH
387,603871.SH
388,603569.SH
389,600787.SH
390,600057.SH
391,002120.SZ
392,600233.SH
393,600093.SH
394,605050.SH
395,603117.SH
396,002800.SZ
397,603128.SH
398,603066.SH
399,603056.SH
400,002352.SZ
401,600119.SH
402,603648.SH
403,300013.SZ
404,002245.SZ
405,001202.SZ
406,002889.SZ
407,600603.SH
408,002769.SZ
409,603813.SH
410,300240.SZ
411,002210.SZ
412,601598.SH
413,603329.SH
414,002468.SZ
415,002010.SZ
416,002183.SZ
417,002492.SZ
418,603713.SH
419,603967.SH
420,603689.SH
421,603706.SH
422,600207.SH
423,002259.SZ
424,600167.SH
425,600333.SH
426,002911.SZ
427,002893.SZ
428,600617.SH
429,600635.SH
430,600681.SH
431,002700.SZ
432,600719.SH
433,600803.SH
434,300335.SZ
435,600903.SH
436,600917.SH
437,600982.SH
438,601139.SH
439,603053.SH
440,603080.SH
441,603223.SH
442,002267.SZ
443,603393.SH
444,600956.SH
445,600856.SH
