,symbol
0,600831.SH
1,000156.SZ
2,603598.SH
3,002343.SZ
4,000892.SZ
5,603682.SH
6,000560.SZ
7,600605.SH
8,001914.SZ
9,600692.SH
10,000056.SZ
11,002285.SZ
12,300917.SZ
13,002968.SZ
14,603506.SH
15,002377.SZ
16,000861.SZ
17,300538.SZ
18,002999.SZ
19,000906.SZ
20,000062.SZ
21,002441.SZ
22,000587.SZ
23,000652.SZ
24,601777.SH
25,603129.SH
26,603766.SH
27,603787.SH
28,600099.SH
29,689009.SH
30,001696.SZ
31,000913.SZ
32,300703.SZ
33,300329.SZ
34,002678.SZ
35,600818.SH
36,003032.SZ
37,600158.SH
38,002878.SZ
39,002575.SZ
40,605299.SH
41,300192.SZ
42,600679.SH
43,002105.SZ
44,002103.SZ
45,300282.SZ
46,600661.SH
47,300640.SZ
48,002899.SZ
49,600455.SH
50,002348.SZ
51,603899.SH
52,002607.SZ
53,300651.SZ
54,000017.SZ
55,300081.SZ
56,000526.SZ
57,002862.SZ
58,002638.SZ
59,603466.SH
60,300089.SZ
61,300043.SZ
62,002659.SZ
63,000558.SZ
64,300338.SZ
65,002858.SZ
66,002621.SZ
67,605099.SH
68,603398.SH
69,300860.SZ
70,605098.SH
71,002301.SZ
72,300359.SZ
73,000155.SZ
74,002256.SZ
75,601016.SH
76,601985.SH
77,003816.SZ
78,601619.SH
79,603693.SH
80,000862.SZ
81,601908.SH
82,002015.SZ
83,003035.SZ
84,600163.SH
85,000591.SZ
86,600821.SH
87,601778.SH
88,000040.SZ
89,002033.SZ
90,000888.SZ
91,300144.SZ
92,600749.SH
93,000430.SZ
94,600054.SH
95,000069.SZ
96,002059.SZ
97,603136.SH
98,000978.SZ
99,603099.SH
100,603199.SH
101,300178.SZ
102,000610.SZ
103,600138.SH
104,600706.SH
105,000613.SZ
106,601888.SH
107,600593.SH
108,300859.SZ
109,600555.SH
110,002159.SZ
111,600358.SH
112,002707.SZ
113,000796.SZ
114,300740.SZ
115,600249.SH
116,000523.SZ
117,600315.SH
